Noise Type,Intensity,ISTA_PSNR,ISTA_SSIM,ISTA_Time,BM3D_PSNR,BM3D_SSIM,BM3D_Time,PSNR_Improve,SSIM_Improve
Gaussian,15.0,28.122020793828085,0.7898043296424141,0.7810113089425224,25.513735103375772,0.6893891878502345,1.121518680027553,-9.274887141199862,-12.713926478175017
Gaussian,25.0,25.481843808257086,0.6378797264278376,0.8072218894958496,25.15710667308111,0.6779942575659529,1.1104379892349243,-1.2743863341268453,6.288729595273216
Gaussian,50.0,18.46957407113822,0.3148807661803847,0.8236746788024902,23.994978092285457,0.6240222723371087,1.1027774981090002,29.916250368662272,98.17732277100316
Salt-Pepper,0.05,22.828088118082768,0.5199327307797816,0.8198590278625488,29.65335677927488,0.8669543588115031,1.108391557421003,29.89855578744514,66.74356267420737
Salt-Pepper,0.1,20.306849617815917,0.38991475125283304,0.8267626251493182,28.765330315136314,0.8391568079185209,1.1016418252672469,41.6533379451408,115.21545548667511
Salt-Pepper,0.2,16.760599800189578,0.2421111775974228,0.8281246423721313,25.69141943014289,0.7197070450958547,1.1306666135787964,53.28460637698835,197.26303933499838
