image,noise_type,intensity,ista_psnr,ista_ssim,ista_time,bm3d_psnr,bm3d_ssim,bm3d_time
baboon,Gaussian,15.0,25.024764739030516,0.7306046795822111,0.634533166885376,20.878535500507702,0.4087378866076511,1.1476678848266602
baboon,Gaussian,25.0,23.605255040396695,0.6639883139090906,0.7051615715026855,20.828375996739613,0.40867342582301447,1.0847344398498535
baboon,Gaussian,50.0,17.87018675511836,0.394740170983328,0.6772897243499756,20.466707624011242,0.3893716768893659,1.0927751064300537
baboon,Salt-Pepper,0.05,21.221441517215286,0.48416840980228487,0.644167423248291,23.14437409731843,0.6842721473049727,1.0296859741210938
baboon,Salt-Pepper,0.1,19.766747882934006,0.4188536571683776,0.754286527633667,22.89295431183757,0.6516339511847656,1.1220643520355225
baboon,Salt-Pepper,0.2,16.89959412930032,0.29105905070297433,0.7918479442596436,20.971132047721998,0.4478308545350633,1.137470006942749
barbara,Gaussian,15.0,28.170148853924083,0.816857548110007,1.4613406658172607,24.11549548144205,0.6882223673614497,1.7152438163757324
barbara,Gaussian,25.0,25.469637919370044,0.6402510707502447,1.4630100727081299,23.961704212875716,0.6757890934589458,1.717583179473877
barbara,Gaussian,50.0,18.28755941207705,0.31652234725002937,1.4444141387939453,23.286275172631996,0.6162741359413402,1.774794340133667
barbara,Salt-Pepper,0.05,23.132649390832803,0.5471624962435778,1.4216992855072021,26.523439768433683,0.8391592838822592,1.947265625
barbara,Salt-Pepper,0.1,20.78818974924863,0.41520358950432307,1.296699047088623,26.323109360680064,0.8236723246480021,1.7113592624664307
barbara,Salt-Pepper,0.2,17.323019200847522,0.257838150088751,1.379767656326294,24.101258405465337,0.7056741789807838,1.8091392517089844
bridge,Gaussian,15.0,26.07682127570015,0.7513198251460435,0.9854450225830078,23.26080665876402,0.5318874929691728,1.2261459827423096
bridge,Gaussian,25.0,24.355216653889986,0.6689570446723854,0.9852735996246338,23.06889300776406,0.5243473842417357,1.2750773429870605
bridge,Gaussian,50.0,18.16550578933869,0.37462563282027395,0.9725141525268555,22.400670032020976,0.500267549812428,1.2765567302703857
bridge,Salt-Pepper,0.05,22.006738991149458,0.49983488707635154,1.159456491470337,26.6640419368586,0.8078146547567994,1.1789870262145996
bridge,Salt-Pepper,0.1,20.099807632698973,0.4188091250615955,1.0738530158996582,26.042012313028266,0.7674553955655788,1.1642870903015137
bridge,Salt-Pepper,0.2,16.9244144411409,0.2816810742798432,0.9431266784667969,23.525979839843135,0.5755622956938058,1.133857011795044
coastguard,Gaussian,15.0,27.493603628371616,0.7114031599950713,0.2505075931549072,24.28740682120944,0.4558346213044986,0.6728887557983398
coastguard,Gaussian,25.0,25.31228535006214,0.6047294536251149,0.35358357429504395,24.124772247576,0.451577627575415,0.7091147899627686
coastguard,Gaussian,50.0,18.28475107969259,0.2859746794611277,0.37088966369628906,23.457429385914462,0.4356126307952365,0.6606521606445312
coastguard,Salt-Pepper,0.05,23.154323461299736,0.4495936714221072,0.31784486770629883,28.882710830643603,0.8089575421508768,0.7147464752197266
coastguard,Salt-Pepper,0.1,20.770355245039376,0.35020115785080413,0.23539257049560547,27.950117128406,0.745660092366468,0.6632661819458008
coastguard,Salt-Pepper,0.2,17.201250629207752,0.2156811398528249,0.37607693672180176,24.437703385321,0.4884700224744871,0.6906824111938477
comic,Gaussian,15.0,25.358682587280498,0.8317680662127556,0.31519246101379395,21.117390320479,0.6358321610493431,0.6172304153442383
comic,Gaussian,25.0,23.66280998255256,0.7490873275750187,0.34339427947998047,20.90324498081886,0.6199039907276647,0.5690019130706787
comic,Gaussian,50.0,18.052960963743114,0.493055516958238,0.37118077278137207,20.29562803166041,0.5754568866599554,0.5887701511383057
comic,Salt-Pepper,0.05,20.849068596569214,0.6092801401014614,0.34638190269470215,25.956151444208277,0.8955231012381591,0.5666923522949219
comic,Salt-Pepper,0.1,19.019916979653267,0.5102901781608474,0.36819934844970703,25.01920081185019,0.8668122907997503,0.6133637428283691
comic,Salt-Pepper,0.2,16.224982000676103,0.37747764903460357,0.24557065963745117,21.321407890428482,0.6873149421192349,0.6140885353088379
face,Gaussian,15.0,30.211735437950182,0.725270620276129,0.21626687049865723,29.568651150698827,0.6882344474678734,0.5657548904418945
face,Gaussian,25.0,27.10920930686525,0.5795828261411181,0.3096034526824951,29.26300306991761,0.6792856291713985,0.5476150512695312
face,Gaussian,50.0,19.30847077688356,0.20929377538436786,0.3188343048095703,27.795297791456353,0.6250022759958399,0.5521702766418457
face,Salt-Pepper,0.05,23.39343338298142,0.41595826274339864,0.23029828071594238,32.86499985047878,0.8258899311238279,0.5352871417999268
face,Salt-Pepper,0.1,20.124547278862813,0.27057329254862633,0.31261730194091797,31.938174807514383,0.7916713950998754,0.5833799839019775
face,Salt-Pepper,0.2,16.18261525118522,0.13801913321583367,0.31703948974609375,30.27444084261299,0.7226189120537195,0.5681881904602051
flowers,Gaussian,15.0,27.87278461837518,0.7998592354095262,0.5142674446105957,24.889557790220067,0.7065893517665587,0.9329650402069092
flowers,Gaussian,25.0,25.493891549538475,0.6447331627299286,0.6576485633850098,24.64521509109851,0.6964881972579521,0.9437987804412842
flowers,Gaussian,50.0,18.75556151724658,0.3300318907950182,0.715360164642334,23.668229896135585,0.636475451771723,0.9222073554992676
flowers,Salt-Pepper,0.05,22.43175340839272,0.5116560685967515,0.6256475448608398,29.85907593338249,0.896118482501351,0.8996171951293945
flowers,Salt-Pepper,0.1,20.01710386917473,0.38824560153281246,0.6115207672119141,28.850197578868837,0.866847257651316,0.8943042755126953
flowers,Salt-Pepper,0.2,16.460044190499573,0.2439043951204556,0.5390207767486572,25.18880234538247,0.743537013045907,0.9212985038757324
foreman,Gaussian,15.0,29.72523702388374,0.8372379540738697,0.38455700874328613,29.567175634313557,0.8672663852043763,0.7139105796813965
foreman,Gaussian,25.0,26.468539291906716,0.636778824205232,0.23496627807617188,28.56196284822453,0.8515200148823552,0.6762888431549072
foreman,Gaussian,50.0,18.933832078192456,0.2727159527181035,0.3725903034210205,26.250442355420518,0.7702574749855539,0.7130329608917236
foreman,Salt-Pepper,0.05,23.14199254420274,0.5209906464223318,0.37665414810180664,33.12998102928492,0.9379767735836603,0.6469910144805908
foreman,Salt-Pepper,0.1,20.12732283312152,0.3638164520398096,0.38025403022766113,32.16148073649944,0.9226922705931078,0.6809859275817871
foreman,Salt-Pepper,0.2,16.331549149165724,0.20596215562228623,0.3805677890777588,29.58988802685328,0.8894046699222778,0.6901583671569824
lenna,Gaussian,15.0,30.43058700931001,0.7991011091205232,0.9422769546508789,29.09649400084723,0.7859408904589419,1.211076259613037
lenna,Gaussian,25.0,26.617494664933986,0.5695809755426643,1.0430290699005127,28.642293031512388,0.7758221298559224,1.2671353816986084
lenna,Gaussian,50.0,18.39368259119604,0.2214539257691889,1.0349998474121094,26.764144589123205,0.6977466269159366,1.1975452899932861
lenna,Salt-Pepper,0.05,24.89287638878028,0.550036109149822,0.9828891754150391,33.73097883184015,0.8874730455716222,1.268925428390503
